년,월,선불카드(일반),선불카드(청소년),선불카드(어린이),선불카드(특수),후불카드(일반),후불카드(청소년),후불카드(어린이),아이조아선불(일반),아이조아선불(청소년),아이조아선불(어린이),아이조아후불(일반),무임카드(경로자),무임카드(장애인),무임카드(유공자),일반권,할인권,우대권(경로자),우대권(장애인),우대권(유공자),정액권,정기출입권,단체권,기타
1997,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405719,38289,0,0,0,29715,0,501,17157
1997,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659228,102474,0,0,0,394187,0,5416,87046
1998,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358073,80955,104651,14968,6163,452714,0,28,67083
1998,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206172,71691,107286,15345,6319,497108,0,32,56096
1998,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226045,53002,130535,18670,7688,630144,0,95,55075
1998,04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154883,47770,130931,16539,5666,616891,0,2330,51975
1998,05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3172769,162119,327231,41334,14161,1247992,0,5768,105439
1998,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2579927,109917,299866,37878,12977,1321775,0,5969,91545
1998,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622561,129310,284141,36728,13022,1263043,0,2503,79474
1998,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524024,142248,273060,35296,12514,1137202,0,462,68988
1998,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377147,113428,287416,37151,13172,1367398,0,14278,71069
1998,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2638408,127046,299465,41366,12728,1327513,0,2604,72469
1998,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571186,112036,305797,42241,12997,1351584,0,5475,70781
1998,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802381,135731,312795,43208,13295,1307109,0,546,70880
1999,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2618205,135762,297776,39797,11520,1145021,0,475,69772
1999,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2472906,130082,270165,36106,10452,986599,0,651,60778
1999,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2679791,90053,337183,45063,13045,1434550,0,790,75301
1999,04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2551947,88631,339979,45437,13153,1362309,0,7736,68779
1999,05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690977,112808,348712,46604,13490,1309807,0,6261,68150
1999,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2311615,79105,333716,44600,12910,1245232,0,8859,66608
1999,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2448518,106250,339209,45334,13123,1152454,0,2408,68720
1999,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397685,124413,321794,43007,12449,1033115,0,969,57732
1999,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2337969,95598,318583,42577,12325,1143210,0,14685,59500
1999,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2536845,89852,367071,49057,14201,1246935,0,4647,64579
1999,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2457866,78642,354391,47363,13710,1213860,0,11271,61382
1999,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2705278,102145,360634,48197,13952,1144805,0,2265,64085
2000,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517844,108994,342819,45816,13263,1046207,0,523,61619
2000,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2468323,110958,324651,43388,12560,981003,0,577,58064
