자원번호,자원명,분류
6968,Trichoderma reesei,Mold
7965,Candida albicans,Yeast
6983,Aspergillus oryzae var. oryzae,Mold
6048,Emericella nidulans,Mold
6052,Penicillium chrysogenum,Mold
6080,Penicillium roquefortii,Mold
7123,Ogataea polymorpha,Yeast
7125,Hanseniaspora valbyensis,Yeast
7134,Rhodosporidium toruloides,Yeast
7183,Zygosaccharomyces mrakii,Yeast
7190,Pichia pastoris,Yeast
7212,Candida tropicalis,Yeast
7219,Candida glabrata,Yeast
7253,Kazachstania telluris,Yeast
7270,Candida albicans,Yeast
7273,Clavispora lusitaniae,Yeast
7295,Pichia anomala,Yeast
7296,Saccharomyces cerevisiae,Yeast
1018,Corynebacterium ammoniagenes,Bacteria
1036,Leclercia adecarboxylata,Bacteria
1038,Cellulomonas flavigena,Bacteria
1060,Pseudonocardia petroleophila,Bacteria
1063,Propionibacterium freudenreichii,Bacteria
1066,Pseudomonas stutzeri,Bacteria
1077,Streptomyces rimosus subsp. rimosus,Bacteria
1080,Streptomyces griseus subsp. griseus,Bacteria
1372,Rhodospirillum rubrum,Bacteria
1373,Rubrivivax gelatinosus,Bacteria
1398,Streptomyces lavendulae subsp. lavendulae,Bacteria
1434,Luteovulum sphaeroides subsp. sphaeroides,Bacteria
1441,Cellulomonas uda,Bacteria
1445,Corynebacterium glutamicum,Bacteria
1448,Corynebacterium glutamicum,Bacteria
1648,Hydrogenophaga flava,Bacteria
1655,Acetobacterium woodii,Bacteria
1660,Bacillus amyloliquefaciens subsp. amyloliquefaciens,Bacteria
1674,Clostridium pasteurianum,Bacteria
1739,Amycolatopsis mediterranei,Bacteria
1750,Pseudomonas aeruginosa,Bacteria
1751,Pseudomonas putida,Bacteria
1771,Cellulosimicrobium cellulans,Bacteria
1773,Stenotrophomonas maltophilia,Bacteria
1780,Actinoplanes missouriensis,Bacteria
1790,Clostridium acetobutylicum,Bacteria
1822,Paenibacillus macerans,Bacteria
1871,Clostridium butyricum,Bacteria
1918,Bacillus licheniformis,Bacteria
1922,Streptomyces coeruleorubidus,Bacteria
1946,Streptantibioticus cattleyicolor,Bacteria
2113,Streptomyces kasugaensis,Bacteria
2346,Sphingomonas paucimobilis,Bacteria
2348,Hydrogenophaga pseudoflava,Bacteria
2352,Rhizobium phaseoli,Bacteria
2353,Ensifer meliloti,Bacteria
2357,Acinetobacter calcoaceticus,Bacteria
2358,Aeromonas hydrophila subsp. hydrophila,Bacteria
2361,Enterobacter cloacae subsp. cloacae,Bacteria
2414,Zymomonas mobilis subsp. mobilis,Bacteria
2422,Bradyrhizobium japonicum,Bacteria
2441,Escherichia coli,Bacteria
2451,Leucothrix mucor,Bacteria
2472,Vibrio alginolyticus,Bacteria
2473,Vibrio fluvialis,Bacteria
2488,Fusobacterium nucleatum subsp. polymorphum,Bacteria
2489,Empedobacter brevis,Bacteria
2509,Citrobacter freundii,Bacteria
2513,Pseudomonas aeruginosa,Bacteria
2520,Pluralibacter pyrinus,Bacteria
2564,Pantoea agglomerans,Bacteria
2566,Proteus mirabilis,Bacteria
2568,Providencia stuartii,Bacteria
2577,Pantoea cypripedii,Bacteria
2579,Proteus vulgaris,Bacteria
2581,Aggregatibacter actinomycetemcomitans,Bacteria
2583,Rhodobacter capsulatus,Bacteria
2631,Lampropedia hyalina,Bacteria
2640,Fusobacterium nucleatum subsp. nucleatum,Bacteria
2678,Alcaligenes faecalis subsp. faecalis,Bacteria
2683,Halomonas pacifica,Bacteria
3007,Priestia megaterium,Bacteria
3063,Micrococcus luteus,Bacteria
3065,Streptococcus mutans,Bacteria
3074,Lacticaseibacillus paracasei subsp. tolerans,Bacteria
3076,Gordonia bronchialis,Bacteria
3082,Brevibacterium casei,Bacteria
3083,Brevibacterium iodinum,Bacteria
3090,Brevibacterium epidermidis,Bacteria
3108,Lactiplantibacillus plantarum subsp. plantarum,Bacteria
3109,Lacticaseibacillus casei,Bacteria
3112,Limosilactobacillus fermentum,Bacteria
3117,Sporolactobacillus laevolacticus,Bacteria
3120,Lactiplantibacillus pentosus,Bacteria
3135,Bacillus subtilis,Bacteria
3136,Agromyces mediolanus,Bacteria
3155,Lactobacillus kitasatonis,Bacteria
3160,Amylolactobacillus amylotrophicus,Bacteria
