법정동시도코드,시도명,법정동시군구코드,시군구명,시간코드,전체_카드,교통,백화점,소형유통,숙박,스포츠외,여행,요식,의료,주유,주차장,편의점,할인점외
41,경기,281,고양시 덕양구,51,29554,8255,3771,13045,1269,4797,495,33636,1787,7532,3162,14106,13326
46,전남,790,화순군,52,1168,338,115,496,39,143,9,1122,60,307,104,454,417
11,서울,680,강남구,51,25294,9415,4731,9066,1793,5008,436,29240,1445,5064,2782,12480,10499
41,경기,820,가평군,55,1067,435,132,415,45,160,6,1062,35,288,67,458,328
43,충북,130,충주시,55,1701,789,170,681,85,251,7,1866,57,517,149,887,760
47,경북,280,문경시,53,980,283,96,361,29,101,7,893,45,253,39,389,419
11,서울,650,서초구,55,10171,3802,1992,3617,751,2119,191,11956,598,2199,1307,5037,4273
26,부산,140,서구,51,4713,2055,794,1476,193,561,124,4571,294,909,426,1999,1956
30,대전,200,유성구,51,39118,13593,7272,14120,1824,5267,454,35273,1581,9815,3587,14435,15547
31,울산,170,동구,52,8180,2669,1430,2885,609,924,448,8045,361,2127,478,3724,3782
42,강원,110,춘천시,55,16083,7894,1473,6976,767,2820,180,18847,791,4446,1166,8302,7752
46,전남,770,고흥군,51,660,172,53,306,28,63,0,565,44,193,37,223,236
44,충남,270,당진시,53,3770,1154,378,1627,165,619,36,3761,150,1335,336,1797,1597
11,서울,260,중랑구,51,17145,5232,2417,7151,744,2601,204,19948,876,2984,1346,8774,8237
47,경북,113,포항시 북구,53,22796,6901,2519,8269,890,2894,207,21585,1294,6746,1431,8823,10100
31,울산,170,동구,54,8479,2956,1533,3043,659,995,477,8559,394,2252,558,3932,3934
11,서울,620,관악구,51,43503,16020,6526,17269,1840,6699,654,53136,1893,6093,2888,23552,20857
48,경남,870,함양군,52,271,71,34,101,0,12,0,258,8,93,18,100,112
43,충북,740,영동군,51,2503,863,200,948,74,222,12,1990,135,682,117,852,791
29,광주,155,남구,54,10595,3951,1407,4070,459,1690,119,10302,522,2987,1121,3999,4597
47,경북,900,예천군,53,1187,300,118,504,53,140,0,1139,55,382,83,524,515
41,경기,450,하남시,54,9480,2982,1553,3674,481,1689,87,10487,477,2292,1116,4476,4005
44,충남,810,예산군,55,1075,385,140,467,27,145,6,1076,31,330,68,520,435
46,전남,790,화순군,55,266,76,29,118,0,8,0,258,11,76,27,103,90
26,부산,440,강서구,54,5395,1614,622,1798,248,686,191,4981,239,1451,600,2160,2393
41,경기,290,과천시,51,5440,1463,775,1969,314,934,79,6040,301,1351,618,2341,2532
26,부산,440,강서구,53,6928,1937,744,2311,306,903,242,6284,304,1894,768,2708,3093
31,울산,110,중구,51,11654,3749,1482,4089,540,1534,676,11349,656,3317,987,4938,5211
42,강원,810,인제군,54,443,134,42,201,28,67,0,483,16,131,31,195,158
11,서울,350,노원구,55,9774,3117,1577,4180,459,1649,119,11575,468,1943,864,5137,4552
42,강원,720,홍천군,53,1301,535,138,613,84,216,16,1461,63,404,97,657,519
28,인천,237,부평구,51,16492,5264,2115,6177,697,2315,288,17331,737,3166,1519,7426,7390
