,word,n
266,우리,33
62,국민,18
243,여러분,16
129,동북아,15
226,시대,13
211,세계,11
403,평화,11
178,북한,9
416,한반도,8
120,대화,6
185,비롯,6
193,사회,6
165,발전,5
75,극복,5
21,경제,5
209,성장,4
4,감사,4
271,원칙,4
118,대통령,4
10,개발,4
253,오늘,4
244,역사,4
415,한반,4
123,도전,4
42,과제,4
85,기회,4
14,개혁,4
169,번영,4
100,노력,4
315,정부,4
148,문제,4
298,자리,3
304,저력,3
334,존경,3
349,중앙,3
358,지속적,3
366,지혜,3
155,미래,3
122,도약,3
390,추진,3
414,한미동맹,3
396,통합,3
427,협력,3
12,개선,3
127,동력,3
150,문화,3
394,타협,3
281,유럽연합,3
114,대륙,2
158,민주주의,2
159,바다,2
5,강구,2
57,국가,2
119,대한민국,2
413,하늘,2
420,해결,2
146,목표,2
189,사람,2
184,불행,2
267,우선,2
34,고조,2
274,위대한,2
44,관계,2
290,이후,2
170,변방,2
299,자신,2
139,러시아,2
28,계획,2
320,정착,2
321,정책,2
322,정치,2
67,국제사회,2
140,마음,2
342,중국,2
43,과학기술,2
356,지방,2
41,과정,2
359,지식정보화,2
241,약속드,2
378,창의력,2
387,최선,2
78,기반,2
202,선택,2
39,공정,2
397,투명,2
424,혁신,2
405,평화번영정책,2
409,포기,2
37,공동체,2
432,확대,2
261,요구,2
423,핵무기,2
15,건강,2
327,제도적,2
61,국리민복,1
63,국민적,1
64,국민참여,1
65,국민통합,1
66,국정운영,1
68,국제협력,1
69,군사적,1
70,굴절,1
71,귀빈,1
72,균형,1
73,균형발전사회,1
74,그동안,1
76,근대,1
77,금융,1
79,기본적,1
80,기억,1
81,기업하기,1
82,기적,1
83,기차표,1
84,기초해,1
86,기회주의자,1
87,긴밀,1
88,긴박,1
89,긴장,1
90,긴장이냐,1
91,김대중,1
92,나라,1
93,남북,1
94,남북한,1
95,내부,1
96,내실화,1
97,내외,1
98,냉전지대,1
99,넷째,1
101,노사,1
102,노사화합,1
103,노약자,1
104,농경시대,1
105,농어민,1
106,농어업,1
107,다리,1
108,당리당략,1
109,당사자,1
